Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
99,7,,Random2,DISCARD,pass,0.0,[ 5.  6.  6.  7.  9.  9.  9. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,7,,DQL_ATK,DISCARD,pass,0.0,[ 4.  5.  6. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random0,DECLARE_PIZZA,,,,,,,,,,
99,8,,Random0,DISCARD,C10;Q3;J0,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],"['C6;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
99,8,,Random1,DISCARD,pass,0.0,[ 5.  8.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,8,,Random2,DISCARD,C9;Q3;J0,0.0,[ 5.  6.  6.  7. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C9;Q3;J0', 'pass']",,,,
99,8,,DQL_ATK,DISCARD,pass,0.0,[ 4.  5.  6. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,8,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random2,DECLARE_PIZZA,,,,,,,,,,
99,9,,Random2,DISCARD,C11;Q4;J0,0.0,[ 5.  6.  6.  7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
99,9,,DQL_ATK,DISCARD,pass,0.0,[ 4.  5.  6. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,9,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,9,,Random1,DISCARD,C10;Q4;J0,0.0,[ 5.  8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],"['C10;Q4;J0', 'pass']",,,,
99,9,,Random2,DISCARD,pass,0.0,[ 5.  6.  6.  7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,,,Random1,DECLARE_PIZZA,,,,,,,,,,
99,10,,Random1,DISCARD,C5;Q1;J0,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
99,10,,Random2,DISCARD,pass,0.0,[ 5.  6.  6.  7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,10,,DQL_ATK,DISCARD,C4;Q1;J0,0.0,[ 5.  6. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'pass']",,,,
99,10,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,10,,Random1,DISCARD,pass,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,DQL_ATK,DECLARE_PIZZA,,,,,,,,,,
99,11,,DQL_ATK,DISCARD,C5;Q1;J0,0.0,[ 6. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C6;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
99,11,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,11,,Random1,DISCARD,pass,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,11,,Random2,DISCARD,pass,0.0,[ 5.  6.  6.  7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,DQL_ATK,DECLARE_PIZZA,,,,,,,,,,
99,12,,DQL_ATK,DISCARD,C6;Q1;J0,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
99,12,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,12,,Random1,DISCARD,pass,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,12,,Random2,DISCARD,C5;Q1;J0,0.0,[ 6.  6.  7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'pass']",,,,
99,12,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random2,DECLARE_PIZZA,,,,,,,,,,
99,13,,Random2,DISCARD,C6;Q2;J0,0.0,[ 7. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
99,13,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,13,,Random0,DISCARD,pass,0.0,[ 6. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,13,,Random1,DISCARD,pass,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random2,DECLARE_PIZZA,,,,,,,,,,
99,14,,Random2,DISCARD,C7;Q1;J0,0.0,[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
99,14,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,14,,Random0,DISCARD,C6;Q1;J0,0.0,[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'pass']",,,,
99,14,,Random1,DISCARD,pass,0.0,[ 8.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,14,,Random2,DISCARD,pass,0.0,[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random0,DECLARE_PIZZA,,,,,,,,,,
99,15,,Random0,DISCARD,C11;Q1;J0,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'pass']",,,,
99,15,,Random1,DISCARD,C8;Q1;J0,0.0,[ 9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q1;J0', 'C9;Q1;J0', 'pass']",,,,
99,15,,Random2,DISCARD,pass,0.0,[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,15,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,15,,Random1,DISCARD,pass,0.0,[ 9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random1,DECLARE_PIZZA,,,,,,,,,,
99,16,,Random1,DISCARD,C11;Q4;J0,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
99,16,,Random2,DISCARD,pass,0.0,[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,16,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,,,Random1,DECLARE_PIZZA,,,,,,,,,,
99,17,,Random1,DISCARD,C9;Q1;J0,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C9;Q1;J0', 'pass']",,,,
99,17,,Random2,DISCARD,pass,0.0,[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,17,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
99,,,Random1,DECLARE_PIZZA,,,,,,,,,,
99,18,,Random2,DISCARD,C10;Q1;J0,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
99,18,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,,,Random2,DECLARE_PIZZA,,,,,,,,,,
99,19,,Random2,DISCARD,C10;Q1;J0,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C10;Q1;J0', 'pass']",,,,
99,19,,DQL_ATK,DISCARD,pass,0.0,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
99,,,Random2,DECLARE_PIZZA,,,,,,,,,,
99,19,,SYSTEM,END_MATCH,,,,,,,"{'Random0': 'chef', 'Random1': 'souschef', 'Random2': 'waiter', 'DQL_ATK': 'dishwasher'}","{'Random0': 3, 'Random1': 2, 'Random2': 1, 'DQL_ATK': 0}","{'Random0': 131, 'Random1': 137, 'Random2': 122, 'DQL_ATK': 210}",
99,0,,SYSTEM,DEAL_CARDS,,,"[[4, 5, 7, 7, 8, 8, 9, 10, 10, 10, 11, 11, 11, 11, 11, 11, 12], [2, 2, 4, 4, 6, 6, 7, 7, 7, 8, 8, 9, 10, 10, 10, 11, 11], [1, 5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 11, 11], [3, 3, 3, 4, 5, 5, 6, 6, 8, 9, 9, 9, 9, 10, 10, 11, 12]]",,,,,,,
99,0,,SYSTEM,CARD_EXCHANGE,"['', '', [3, 3], 1, [11], [11, 12]]",,"[[3, 3, 4, 5, 7, 7, 8, 8, 9, 10, 10, 10, 11, 11, 11, 11, 11], [1, 2, 2, 4, 4, 6, 6, 7, 7, 7, 8, 8, 9, 10, 10, 10, 11], [5, 5, 6, 6, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11], [3, 4, 5, 5, 6, 6, 8, 9, 9, 9, 9, 10, 10, 11, 11, 12, 12]]",,,,,,,
100,0,,SYSTEM,NEW_MATCH,,,,,,,"{'Random0': 'chef', 'Random1': 'souschef', 'Random2': 'waiter', 'DQL_ATK': 'dishwasher'}",,"{'Random0': 129, 'Random1': 136, 'Random2': 122, 'DQL_ATK': 207}",
100,1,,Random0,DISCARD,C11;Q3;J0,0.0,[ 3.  3.  4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'C11;Q5;J0']",,,,
100,1,,Random1,DISCARD,C7;Q3;J0,0.0,[ 1.  2.  2.  4.  4.  6.  6.  8.  8.  9. 10. 10. 10. 11.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q3;J0', 'C10;Q3;J0', 'pass']",,,,
100,1,,Random2,DISCARD,pass,0.0,[ 5.  5.  6.  6.  7.  7.  8.  8.  8.  9.  9.  9. 10. 10. 11. 11. 11.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,1,,DQL_ATK,DISCARD,pass,0.0,[ 3.  4.  5.  5.  6.  6.  8.  9.  9.  9.  9. 10. 10. 11. 11. 12. 12.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,1,,Random0,DISCARD,pass,0.0,[ 3.  3.  4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,,,Random1,DECLARE_PIZZA,,,,,,,,,,
100,2,,Random1,DISCARD,C10;Q2;J0,0.0,[ 1.  2.  2.  4.  4.  6.  6.  8.  8.  9. 10. 11.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C1;Q1;J0', 'C2;Q1;J0', 'C2;Q2;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
100,2,,Random2,DISCARD,C8;Q2;J0,0.0,[ 5.  5.  6.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 11. 11.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q2;J0', 'C6;Q2;J0', 'C7;Q2;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
100,2,,DQL_ATK,DISCARD,C5;Q2;J2,0.0,[ 3.  4.  6.  6.  8.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q2;J0', 'C5;Q2;J1', 'C5;Q2;J2', 'C6;Q2;J0', 'C6;Q2;J1', 'C6;Q2;J2', 'pass']",,,,
100,2,,Random0,DISCARD,pass,0.0,[ 3.  3.  4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
100,2,,Random1,DISCARD,pass,0.0,[ 1.  2.  2.  4.  4.  6.  6.  8.  8.  9. 10. 11.  0.  0.  0.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
100,2,,Random2,DISCARD,pass,0.0,[ 5.  5.  6.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 11. 11.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],[ 5.  5. 12. 12.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
100,,,DQL_ATK,DECLARE_PIZZA,,,,,,,,,,
100,3,,DQL_ATK,DISCARD,C9;Q4;J0,0.0,[ 3.  4.  6.  6.  8. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C4;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C9;Q4;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
100,3,,Random0,DISCARD,pass,0.0,[ 3.  3.  4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,3,,Random1,DISCARD,pass,0.0,[ 1.  2.  2.  4.  4.  6.  6.  8.  8.  9. 10. 11.  0.  0.  0.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,3,,Random2,DISCARD,pass,0.0,[ 5.  5.  6.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 11. 11.  0.  0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,,,DQL_ATK,DECLARE_PIZZA,,,,,,,,,,
100,4,,DQL_ATK,DISCARD,C6;Q2;J0,0.0,[ 3.  4.  8. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C4;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
100,4,,Random0,DISCARD,C3;Q2;J0,0.0,[ 4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q2;J0', 'pass']",,,,
100,4,,Random1,DISCARD,C2;Q2;J0,0.0,[ 1.  4.  4.  6.  6.  8.  8.  9. 10. 11.  0.  0.  0.  0.  0.  0.  0.],[3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q2;J0', 'pass']",,,,
100,4,,Random2,DISCARD,pass,0.0,[ 5.  5.  6.  6.  7.  7.  8.  9.  9.  9. 10. 10. 11. 11. 11.  0.  0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,4,,DQL_ATK,DISCARD,pass,0.0,[ 3.  4.  8. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,4,,Random0,DISCARD,pass,0.0,[ 4.  5.  7.  7.  8.  8.  9. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
100,,,Random1,DECLARE_PIZZA,,,,,,,,,,
